movie_id,title,tags
19995,Avatar,"22nd century, parapleg marin dispatch moon pandora uniqu mission, becom torn follow order protect alien civilization. action adventur fantasi scienc fiction cultur clash futur space war space coloni societi space travel futurist romanc space alien tribe alien planet cgi marin soldier battl love affair anti war power relat mind soul 3d sam worthington zoe saldana sigourney weaver jame cameron"
285,Pirates of the Caribbean: At World's End,"captain barbossa, long believ dead, come back life head edg earth turner elizabeth swann. noth quit seems. adventur fantasi action ocean drug abus exot island east india trade compani love one' life traitor shipwreck strong woman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting johnni depp orlando bloom keira knightley gore verbinski"
206647,Spectre,"cryptic messag bond’ past send trail uncov sinist organization. battl polit forc keep secret servic alive, bond peel back layer deceit reveal terribl truth behind spectre. action adventur crime spi base novel secret agent sequel mi6 british secret servic unit kingdom daniel craig christoph waltz léa seydoux sam mend"
49026,The Dark Knight Rises,"follow death district attorney harvey dent, batman assum respons dent' crime protect late attorney' reput subsequ hunt gotham citi polic department. eight year later, batman encount mysteri selina kyle villain bane, new terrorist leader overwhelm gotham' finest. dark knight resurfac protect citi brand enemy. action crime drama thriller dc comic crime fighter terrorist secret ident burglar hostag drama time bomb gotham citi vigilant cover-up superhero villai tragic hero terror destruct catwoman cat burglar imax flood crimin underworld batman christian bale michael cain gari oldman christoph nolan"
49529,John Carter,"john carter war-weary, former militari captain who' inexplic transport mysteri exot planet barsoom (mars) reluctantli becom embroil epic conflict. world brink collapse, carter rediscov human realiz surviv barsoom peopl rest hands. action adventur scienc fiction base novel mar medallion space travel princess alien steampunk martian escap edgar rice burrough alien race superhuman strength mar civil sword planet 19th centuri 3d taylor kitsch lynn collin samantha morton andrew stanton"
559,Spider-Man 3,"seemingli invinc spider-man goe all-new crop villain – includ shape-shift sandman. spider-man’ superpow alter alien organism, alter ego, peter parker, deal nemesi eddi brock also get caught love triangle. fantasi action adventur dual ident amnesia sandstorm love one' life forgiv spider wretch death friend egomania sand narcism hostil marvel comic sequel superhero reveng tobey maguir kirsten dunst jame franco sam raimi"
38757,Tangled,"kingdom' wanted-and charming-bandit flynn rider hide mysteri tower, taken hostag rapunzel, beauti feisti tower-bound teen 70 feet magical, golden hair. flynn' curiou captor, who' look ticket tower lock away years, strike deal handsom thief unlik duo set action-pack escapade, complet super-cop horse, over-protect chameleon gruff gang pub thugs. anim famili hostag magic hors fairi tale music princess anim tower blond woman selfish heal power base fairi tale duringcreditssting heal gift anim sidekick zachari levi mandi moor donna murphi byron howard"
99861,Avengers: Age of Ultron,"toni stark tri jumpstart dormant peacekeep program, thing go awri earth’ mightiest hero put ultim test fate planet hang balance. villain ultron emerges, aveng stop enact terribl plans, soon uneasi allianc unexpect action pave way epic uniqu global adventure. action adventur scienc fiction marvel comic sequel superhero base comic book vision superhero team duringcreditssting marvel cinemat univers 3d robert downey jr. chri hemsworth mark ruffalo joss whedon"
767,Harry Potter and the Half-Blood Prince,"harri begin sixth year hogwarts, discov old book mark 'properti half-blood prince', begin learn lord voldemort' dark past. adventur fantasi famili witch magic broom school witchcraft wizardri apparit teenag crush werewolf daniel radcliff rupert grint emma watson david yate"
209112,Batman v Superman: Dawn of Justice,"fear action god-lik super hero left unchecked, gotham city’ formidable, forc vigilant take metropolis’ revered, modern-day savior, world wrestl sort hero realli needs. batman superman war one another, new threat quickli arises, put mankind greater danger it’ ever known before. action adventur fantasi dc comic vigilant superhero base comic book reveng super power clark kent bruce wayn dc extend univers ben affleck henri cavil gal gadot zack snyder"
1452,Superman Returns,"superman return discov 5-year absenc allow lex luthor walk free, closest felt abandon move on. luthor plot ultim reveng could see million kill chang face planet forever, well rid man steel. adventur fantasi action scienc fiction save world dc comic invulner sequel superhero base comic book kryptonit super power superhuman strength lex luthor brandon routh kevin spacey kate bosworth bryan singer"
